제목,감독이름,제작국가,개봉일,장르,누적관객수,누적매출액
오 마이 그랜파,,,2016-03-17,,56754,462892632
부활,,,2016-03-17,,155828,1101515800
배트맨 대 슈퍼맨: 저스티스의 시작,,,2016-03-24,,2240135,18772638828
글로리데이,,,2016-03-24,,172805,1360369368
일사각오,,,2016-03-17,,38359,286797300
대배우,,,2016-03-30,,165401,1216534228
미스컨덕트,,,2016-03-30,,145561,1111911938
포레스트: 죽음의 숲,,,2016-03-30,,40136,311120862
나의 그리스식 웨딩 2,,,2016-03-30,,29922,226457300
마음이 외치고 싶어해,,,2016-03-30,,32635,264556000
"날, 보러와요",,,2016-04-07,,1051559,8744297090
클로버필드 10번지,,,2016-04-07,,353969,2899583255
독수리 에디,,,2016-04-07,,211713,1688409420
트럼보,,,2016-04-07,,33339,262205800
비포 선라이즈,,,1996-03-30,,21832,180057900
시간이탈자,,,2016-04-13,,1191587,9649606695
헌츠맨: 윈터스 워,,,2016-04-13,,440739,3521920206
해어화,,,2016-04-13,,477636,3718412759
인생은 아름다워,,,1999-03-06,,144459,1011774100
극장판 프랭키와 친구들: 생명의 나무,,,2016-04-13,,28654,225958700
위대한 소원,,,2016-04-21,,304044,2413501013
파라노말 액티비티: 더 고스트 디멘션,,,2016-04-21,,45091,376898800
트리플 9,,,2016-04-20,,39613,309673300
캡틴 아메리카: 시빌 워,,,2016-04-27,,8650500,72462267727
냉정과 열정사이,,,2003-10-10,,38139,307308500
시크릿 인 데어 아이즈,,,2016-04-27,,15633,118847400
탐정 홍길동: 사라진 마을,,,2016-05-04,,1424041,11468466145
극장판 안녕 자두야,,,2016-05-04,,263869,2015696000
매직브러시,,,2016-05-04,,166678,1260054200
다이노소어 어드벤처 : 백악기 공룡대백과,,,2016-05-04,,106928,818818700
다이노X 탐험대,,,2016-05-04,,75546,586758100
곡성,,,2016-05-12,,6853336,55649423282
다이버전트 시리즈: 얼리전트,,,2016-05-12,,100714,798248545
엽기적인 그녀 2,,,2016-05-12,,72027,558560400
나의 소녀시대,,,2016-05-12,,394229,3219586500
앵그리버드 더 무비,,,2016-05-19,,660632,5066740444
계춘할망,,,2016-05-19,,449358,3381729248
싱 스트리트,,,2016-05-19,,525529,4254166172
하드코어 헨리,,,2016-05-19,,37827,331553756
엑스맨: 아포칼립스,,,2016-05-25,,2930866,24405393150
오베라는 남자,,,2016-05-25,,44179,353429888
동급생,,,2016-05-19,,19788,143589500
아가씨,,,2016-06-01,,4215263,34642383891
미 비포 유,,,2016-06-01,,870278,7068341790
무서운 이야기 3 : 화성에서 온 소녀,,,2016-06-01,,70661,567227700
더 보이,,,2016-06-01,,38814,310636900
정글북,,,2016-06-09,,2530983,21469326234
워크래프트: 전쟁의 서막,,,2016-06-09,,1144051,9994848705
컨저링 2,,,2016-06-09,,1924313,15726315629
특별수사: 사형수의 편지,,,2016-06-16,,1198197,9596254265
닌자터틀 : 어둠의 히어로,,,2016-06-16,,178591,1487683000
본 투 비 블루,,,2016-06-09,,49161,419682700
인디펜던스 데이 : 리써전스,,,2016-06-22,,1488492,12679249940
비밀은 없다,,,2016-06-23,,193706,1599899339
크리미널,,,2016-06-22,,74159,603314681
굿바이 싱글,,,2016-06-29,,2103766,16880145895
레전드 오브 타잔,,,2016-06-29,,854460,7168051117
사냥,,,2016-06-29,,637081,4847135715
봉이 김선달,,,2016-07-06,,2043660,16179594942
도리를 찾아서,,,2016-07-06,,2564991,20439352233
나우 유 씨 미 2,,,2016-07-13,,3096296,25086637413
부산행,,,2016-07-20,,11531866,92914170048
언더 워터,,,2016-07-13,,382478,3095164591
트릭,,,2016-07-13,,30622,239293500
데몰리션,,,2016-07-13,,25229,207950121
아이스 에이지: 지구 대충돌,,,2016-07-20,,547390,4049289100
극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,,,2016-07-20,,265728,2005984380
나의 산티아고,,,2016-07-14,,36786,288217700
BIFAN2016 판타스틱 단편 걸작선 1,,, ,,21500,129000000
인천상륙작전,,,2016-07-27,,7033357,54993437503
제이슨 본,,,2016-07-27,,2539270,20657824563
빅,,,2016-07-27,,115083,858616060
덕혜옹주,,,2016-08-03,,5568667,44154714009
수어사이드 스쿼드,,,2016-08-03,,1882718,15750215888
마이펫의 이중생활,,,2016-08-03,,2514105,19359039355
명탐정 코난: 순흑의 악몽,,,2016-08-03,,459210,3393969900
터널,,,2016-08-10,,7076050,57179520517
국가대표 2,,,2016-08-10,,645363,5025995742
슈퍼 프렌즈,,,2016-08-10,,56102,429475700
스타트렉 비욘드,,,2016-08-17,,1127332,9951795920
서울역,,,2016-08-17,,121578,967143500
마이 리틀 자이언트,,,2016-08-10,,100675,795867000
라이트 아웃,,,2016-08-24,,1081038,8652171775
고스트버스터즈,,,2016-08-25,,479470,3827006375
플로렌스,,,2016-08-24,,89966,710449600
올레,,,2016-08-25,,50358,405224400
메카닉: 리크루트,,,2016-08-31,,516530,4169110500
이퀄스,,,2016-08-31,,56266,425086300
밀정,,,2016-09-07,,7458824,60973761431
"고산자, 대동여지도",,,2016-09-07,,949563,7637324058
거울나라의 앨리스,,,2016-09-07,,502798,4072112367
달빛궁궐,,,2016-09-07,,138081,1047417000
장난감이 살아있다,,,2016-09-07,,131232,1026616000
로빈슨 크루소,,,2016-09-07,,114860,885628900
벤허,,,2016-09-14,,1388980,11333530995
매그니피센트 7,,,2016-09-14,,918835,7614973421
드림 쏭,,,2016-09-14,,204625,1612654000
아이엠스타 뮤직어워드,,,2016-09-14,,61382,417672800
아이 엠 어 히어로,,,2016-09-21,,201145,1712295000
브리짓 존스의 베이비,,,2016-09-28,,803928,6547882674
설리: 허드슨강의 기적,,,2016-09-28,,607841,5096553654
카페 소사이어티,,,2016-09-14,,94240,790550638
아수라,,,2016-09-28,,2577172,20457659662
미스 페레그린과 이상한 아이들의 집,,,2016-09-28,,2705153,21739035886
피터와 드래곤,,,2016-09-28,,88276,707852100
맨 인 더 다크,,,2016-10-05,,986332,8342437272
럭키,,,2016-10-13,,6969184,56402083256
죽여주는 여자,,,2016-10-06,,83937,623939000
바스티유 데이,,,2016-10-13,,93632,745548100
어카운턴트,,,2016-10-13,,67709,536050928
자백,,,2016-10-13,,108802,853383200
인페르노,,,2016-10-19,,675249,5547604303
걷기왕,,,2016-10-20,,82266,629010075
닥터 스트레인지,,,2016-10-26,,5436233,47403207196
혼숨,,,2016-10-26,,273028,2142233921
"무현, 두 도시 이야기",,,2016-10-26,,174356,1371982900
쿠보와 전설의 악기,,,2016-10-26,,16254,111273883
로스트 인 더스트,,,2016-11-03,,74630,584393322
선생님의 일기,,,2016-11-02,,51217,345194700
극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,,,2016-11-03,,60786,476388700
무한대를 본 남자,,,2016-11-03,,23069,182936654
스플릿,,,2016-11-09,,746692,6020588339
위자: 저주의 시작,,,2016-11-09,,313861,2503223106
감바의 대모험,,,2016-11-10,,91968,698976000
세상에서 고양이가 사라진다면,,,2016-11-09,,48438,332846300
신비한 동물사전,,,2016-11-16,,4652626,39224573258
가려진 시간,,,2016-11-16,,506877,3920911900
하이큐!! 끝과 시작,,,2016-11-16,,49187,355832500
카페 6,,,2016-11-16,,20906,141095600
형,,,2016-11-23,,2975602,23086833893
블레어 위치,,,2016-11-23,,38525,309986100
리틀메딕: 몸속탐험대,,,2016-11-24,,62799,489328900
미스 사이공 : 25주년 특별 공연,,,2016-11-24,,33104,639706600
미씽: 사라진 여자,,,2016-11-30,,1139535,8783413956
잭 리처: 네버 고 백,,,2016-11-30,,591883,4497158958
언더월드: 블러드 워,,,2016-11-30,,71088,560193700
두 남자,,,2016-11-30,,49954,383746721
판도라,,,2016-12-07,,4545686,35802263464
라라랜드,,,2016-12-07,,3748316,30917206808
아기배달부 스토크,,,2016-12-07,,319473,2417357900
원피스 필름 골드,,,2016-12-08,,205900,1630319800
"당신, 거기 있어줄래요",,,2016-12-14,,1143445,9165307248
목숨 건 연애,,,2016-12-14,,37650,284751000
스노우타임,,,2016-12-15,,21676,164013200
마스터,,,2016-12-21,,7133595,57946651365
씽,,,2016-12-21,,1710057,13122174189
포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,,,2016-12-22,,238452,1821568800
극장판 도라에몽: 신 진구의 버스 오브 재팬,,,2016-12-21,,43229,337881900
로그 원: 스타워즈 스토리,,,2016-12-28,,979088,8693148594
루돌프와 많이있어,,,2016-12-28,,119420,926773600
너의 이름은.,,,2017-01-04,,3907409,31750906211
하이큐!! 승자와 패자,,,2016-12-28,,22733,160576500
패신저스,,,2017-01-04,,654883,5368943318
눈의 여왕 3: 눈과 불의 마법대결,,,2017-01-04,,346092,2567049200
사랑하기 때문에,,,2017-01-04,,329548,2596789740
여교사,,,2017-01-04,,86439,718495760
모아나,,,2017-01-12,,2264365,17710081507
얼라이드,,,2017-01-11,,499678,4117861079
어쌔신 크리드,,,2017-01-11,,352139,2871166721
더 킹,,,2017-01-18,,5271641,43152675735
공조,,,2017-01-18,,7796328,63621717026
터닝메카드W: 블랙미러의 부활,,,2017-01-18,,422855,3164075300
반지의 제왕 : 두개의 탑 (확장판),,,2017-01-18,,20174,257843500
레지던트 이블: 파멸의 날,,,2017-01-25,,708002,5969029265
딥워터 호라이즌,,,2017-01-25,,68381,531162743
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,,,2017-01-25,,116961,890251200
컨택트,,,2017-02-02,,648652,5360340791
라이언,,,2017-02-01,,59439,476148900
조작된 도시,,,2017-02-09,,2492389,19979706387
트리플 엑스 리턴즈,,,2017-02-08,,465273,3892085595
50가지 그림자: 심연,,,2017-02-09,,173351,1457114300
발레리나,,,2017-02-09,,157498,1186421300
명탐정 코난: 에피소드 원-작아진 명탐정,,,2017-02-08,,81707,641814600
레고 배트맨 무비,,,2017-02-09,,105962,858695005
재심,,,2017-02-15,,2415253,19227864637
그레이트 월,,,2017-02-15,,488683,4265161858
트롤,,,2017-02-16,,669262,4963625800
더 큐어,,,2017-02-15,,126456,1066663300
마이펫 오지,,,2017-02-16,,63703,484126450
23 아이덴티티,,,2017-02-22,,1673890,13595005635
싱글라이더,,,2017-02-22,,338663,2592571721
존 윅 - 리로드,,,2017-02-22,,247687,2017288600
핵소 고지,,,2017-02-22,,121682,933424000
루시드 드림,,,2017-02-22,,85247,634084700
로건,,,2017-03-01,,2155751,18287659823
해빙,,,2017-03-01,,1197869,9854927322
눈길,,,2017-03-01,,118820,899737200
문라이트,,,2017-02-22,,141070,1138702995
콩: 스컬 아일랜드,,,2017-03-08,,1688976,13985192883
파도가 지나간 자리,,,2017-03-08,,68026,533261100
미녀와 야수,,,2017-03-16,,5152434,42227481639
비정규직 특수요원,,,2017-03-16,,146802,1127444200
스페이스 비트윈 어스,,,2017-03-16,,22200,173597361
프리즌,,,2017-03-23,,2920530,23707433787
보통사람,,,2017-03-23,,366697,2839343823
히든 피겨스,,,2017-03-23,,428291,3420399933
밤의 해변에서 혼자,,,2017-03-23,,40725,314676800
극장판 암살교실 : 365일의 시간,,,2017-03-23,,18560,138380500
공각기동대 : 고스트 인 더 쉘,,,2017-03-29,,757594,6237934884
원라인,,,2017-03-29,,430116,3290877933
데스노트: 더 뉴 월드,,,2017-03-29,,22822,175410963
미스 슬로운,,,2017-03-29,,22194,173477500
라이프,,,2017-04-05,,457539,3774163310
어느날,,,2017-04-05,,220707,1748062882
시간위의 집,,,2017-04-05,,125702,996676800
패트리어트 데이,,,2017-04-06,,58122,468198618
슈퍼 버드,,,2017-04-06,,18039,135091800
분노의 질주: 더 익스트림,,,2017-04-12,,3645767,29925352048
아빠는 딸,,,2017-04-12,,629652,4932670495
파워레인져스: 더 비기닝,,,2017-04-20,,62029,493400961
오두막,,,2017-04-20,,49328,375182500
파운더,,,2017-04-20,,19866,161891100
특별시민,,,2017-04-26,,1334084,10293045945
임금님의 사건수첩,,,2017-04-26,,1631220,12632234223
스머프: 비밀의 숲,,,2017-04-28,,420615,3077623600
극장판 또봇: 로봇군단의 습격,,,2017-04-27,,128099,985736600
"서서평, 천천히 평온하게",,,2017-04-26,,40346,300361300
극장판 쿠로코의 농구 라스트 게임,,,2017-04-27,,14730,112320000
가디언즈 오브 갤럭시 VOL. 2,,,2017-05-03,,2722323,23350962286
보안관,,,2017-05-03,,2575570,20759142509
보스 베이비,,,2017-05-03,,2432721,18800497204
슈퍼 빼꼼: 스파이 대작전,,,2017-05-03,,77067,557076200
에이리언: 커버넌트,,,2017-05-09,,1296444,10662276364
석조저택 살인사건,,,2017-05-09,,346044,2772559986
목소리의 형태,,,2017-05-09,,258840,2038696914
킹 아서: 제왕의 검,,,2017-05-17,,408198,3321508455
겟 아웃,,,2017-05-17,,2105869,17184295075
불한당: 나쁜 놈들의 세상,,,2017-05-17,,908271,7336751625
캐리비안의 해적: 죽은 자는 말이 없다,,,2017-05-24,,3039593,24893975922
노무현입니다,,,2017-05-25,,1842323,14470366712
너와 100번째 사랑,,,2017-05-25,,59146,467754300
원더 우먼,,,2017-05-31,,2141574,17291842186
대립군,,,2017-05-31,,815757,6171673502
베이블레이드 버스트 갓 : 갓 발키리의 탄생,,,2017-06-01,,103135,779437900
7번째 내가 죽던 날,,,2017-05-31,,25947,198539500
미이라,,,2017-06-06,,3678083,30434691978
악녀,,,2017-06-08,,1192888,9630308344
바다 탐험대 옥토넛 시즌4: 더 파이널,,,2017-06-01,,61644,401670500
하루,,,2017-06-15,,1127764,9060589342
나의 붉은고래,,,2017-06-15,,45432,353957500
꼬마참새 리차드: 아프리카 원정대,,,2017-06-15,,33477,254345600
꼬마돼지 베이브의 대모험,,,2017-06-15,,21755,158275700
트랜스포머: 최후의 기사,,,2017-06-21,,2607123,21447319228
더 서클,,,2017-06-22,,68616,559162900
다크 하우스,,,2017-06-22,,28965,239245000
언더더씨,,,2017-06-22,,22351,173810300
박열,,,2017-06-28,,2338871,17962255495
리얼,,,2017-06-28,,448430,3229013230
옥자,,,2017-06-29,,268452,2034564900
지랄발광 17세,,,2017-06-28,,71400,565169100
스파이더맨: 홈 커밍,,,2017-07-05,,7240766,58990707420
헤드윅,,,2002-08-09,,31740,246984131
카3: 새로운 도전,,,2017-07-13,,472712,3496069301
플립,,,2017-07-12,,349297,2776949100
내 사랑,,,2017-07-12,,253540,1898116925
예수는 역사다,,,2017-07-13,,135885,974834300
택시운전사,,,2017-08-02,,12176753,95786348149
덩케르크,,,2017-07-20,,2804045,24687472348
47 미터,,,2017-07-19,,572901,4559567257
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,,,2017-07-20,,316654,2300546700
오즈: 신기한 마법가루,,,2017-07-20,,54998,409389500
군함도,,,2017-07-26,,6554420,50291706468
슈퍼배드 3,,,2017-07-26,,3307911,24098141119
명탐정 코난:진홍의 연가,,,2017-08-02,,414156,3003959900
이모티: 더 무비,,,2017-08-02,,28250,207360400
청년경찰,,,2017-08-09,,5638636,44274279516
애나벨 : 인형의 주인,,,2017-08-10,,1897937,15238014464
빅풋 주니어,,,2017-08-09,,300223,2117540100
극장판 도라에몽: 진구의 남극 꽁꽁 대모험,,,2017-08-10,,153618,1093987100
파리로 가는 길,,,2017-08-03,,53208,422704900
혹성탈출: 종의 전쟁,,,2017-08-15,,2036947,16746601378
장산범,,,2017-08-17,,1286804,10193613283
공범자들,,,2017-08-17,,206599,1634900300
브이아이피,,,2017-08-23,,1364953,10899698535
다크타워: 희망의 탑,,,2017-08-23,,80298,637303875
킬러의 보디가드,,,2017-08-30,,1709712,13949327800
발레리안: 천 개 행성의 도시,,,2017-08-30,,491321,3899422008
아토믹 블론드,,,2017-08-30,,150895,1144267058
로마의 휴일,,,2017-08-30,,111457,829113076
살인자의 기억법,,,2017-09-06,,2622858,21109814192
그것,,,2017-09-06,,872909,7211516107
극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,,,2017-09-07,,120878,930665600
저수지 게임,,,2017-09-07,,93661,744320200
베이비 드라이버,,,2017-09-14,,801579,6533886214
아메리칸 메이드,,,2017-09-14,,385861,3065282145
몬스터 콜,,,2017-09-14,,75100,592161000
아이 캔 스피크,,,2017-09-21,,3258260,25403581386
인비저블 게스트,,,2017-09-21,,81574,656899100
잃어버린 도시 Z,,,2017-09-21,,35565,280893440
킹스맨: 골든 서클,,,2017-09-27,,4922079,40806477436
극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,,,2017-09-27,,211374,1554200800
레고 닌자고 무비,,,2017-09-28,,143354,1062048800
김광석,,,2017-08-30,,82945,654930100
남한산성,,,2017-10-03,,3826223,31068730392
범죄도시,,,2017-10-03,,6861910,56179790849
넛잡 2,,,2017-10-03,,356706,2679229700
딥,,,2017-10-03,,218429,1691513300
리틀 프린세스 소피아 : 신비한 섬,,,2017-09-28,,50611,358013000
희생부활자,,,2017-10-12,,317745,2479370935
블레이드 러너 2049,,,2017-10-12,,301404,2606117465
"나는 내일, 어제의 너와 만난다",,,2017-10-12,,157991,1234214100
지오스톰,,,2017-10-19,,1025322,8460735614
대장 김창수,,,2017-10-19,,377071,2851892115
노 게임 노 라이프 -제로-,,,2017-10-19,,62123,512810000
토르: 라그나로크,,,2017-10-25,,4823188,38989715995
너의 췌장을 먹고 싶어,,,2017-10-25,,502477,4003057370
뷰티풀 투모로우,,,2017-10-26,,43715,382773900
부라더,,,2017-11-02,,1485834,11741448298
침묵,,,2017-11-02,,468934,3744410064
직쏘,,,2017-11-02,,76656,678366700
해피 데스데이,,,2017-11-08,,1372121,10927898602
미옥,,,2017-11-09,,236016,1880056664
채비,,,2017-11-09,,156825,1135032164
러빙 빈센트,,,2017-11-09,,325276,2585053261
극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지 ,,,2017-11-09,,40711,312975600
저스티스 리그,,,2017-11-15,,1754580,14391184295
7호실,,,2017-11-15,,334220,2581916639
꾼,,,2017-11-22,,3992574,31130276495
래빗 스쿨,,,2017-11-23,,50578,372958500
기억의 밤,,,2017-11-29,,1385195,10637399660
오리엔트 특급 살인,,,2017-11-29,,855662,6577776863
반드시 잡는다,,,2017-11-29,,445609,3320141772
뽀로로 극장판 공룡섬 대모험,,,2017-12-07,,812674,6140841300
메리와 마녀의 꽃,,,2017-12-07,,527015,4004981539
어쌔신: 더 비기닝,,,2017-12-07,,200817,1554788600
강철비,,,2017-12-14,,4436231,35370557666
스타워즈: 라스트 제다이,,,2017-12-14,,946547,8535886061
극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~,,,2017-12-14,,40142,311518900
